"spellid","charactername","species","gender","house","patronus","incantation","spellname","light","chaptername","movietitle","runtime","budget","placeid","dialogues"
7,"Minerva McGonagall","Human","Female","Gryffindor","Cat","Avada Kedavra","Killing Curse","Green","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"This boy will be famous. There won't be a child in our world who doesn't know his name."
4,"Albus Dumbledore","Human","Male","Gryffindor","Phoenix","Alohomora","Unlocking Charm","Blue","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Exactly. He's better off growing up away from all that. Until he is ready."
4,"Albus Dumbledore","Human","Male","Gryffindor","Phoenix","Alohomora","Unlocking Charm","Blue","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"There, there, Hagrid. It's not really goodbye, after all."
4,"Albus Dumbledore","Human","Male","Gryffindor","Phoenix","Alohomora","Unlocking Charm","Blue","Doorstep Delivery","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Good luck...Harry Potter."
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Up. Get up.  Now!"
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Wake up, cousin! We're going to the zoo!"
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Oh, here he comes, the birthday boy!"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Happy birthday, son."
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Why don't you just cook the breakfast, and try not to burn anything."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Yes, Aunt Petunia."
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"I want everything to be perfect for my Dudley's special day."
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Hurry up! Bring my coffee, boy!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Yes, Uncle Vernon."
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Aren't they wonderful, darling?"
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"How many are there?"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Thirty-six. Counted 'em myself."
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Thirty-six?! But last year last year I had thirty-seven!!"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Err yes, well, some of them are quite a bit bigger than last year."
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"I don't care how big they are!"
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Oh, now, now, now. This is what we're going to do, is that when we go out, we're going to buy you two new presents! How's that, pumpkin?"
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"This will be a lovely day at the zoo. I'm really looking forward to it."
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"I'm warning you now, boy. Any funny business, any at all, and you won't have any meals for a week. Get in."
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Make it move."
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Move!"
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"MOVE!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"He's asleep!"
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"He's boring."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Sorry about him. He doesn't understand what it's like, lying there day after day, having people press their ugly faces in on you.  Can you...hear me?  It's just...I've never talked to a snake before. Do you...I mean...do you talk to people often?  You're from Burma, aren't you? Was it nice there, do you miss your family?  I see. That's me as well. I never knew my parents, either."
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Mummy, dad, come here! You won't believe what this snake is doing!"
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Whoa! Ahh! Ahh!!"
NULL,"Student",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Thanks."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Anytime."
NULL,"Man",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"SNAKE!"
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Mum, mummy!"
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"AHH!"
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Mum, help! Help me!"
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","The Vanishing Glass","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!"
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"It's all right. It's all right."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Ow!"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"What happened?!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"There's no such thing as magic!"
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings."
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Caveat Smeltona. Proudest moment of my life."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Will I have to wear that, too?"
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"What, you? Go to Smeltings?"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Ha!"
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin."
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"It'll fit you well enough. Go get the post.  Go!"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Oh, Marge is ill! Ate a funny whelk."
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Dad! Look! Harry's got a letter!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Hey, give it back! It's mine!"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Yours? Who'd be writing to you?"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"No more mail through this letterbox."
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Have a lovely day at the office, dear."
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Shoo! Go on!"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Because there's no post on Sunday?"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-"
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"AHH! Make it stop! Please make it stop!"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Go away, ahh!"
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"What is it? Please tell me what's happening!"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Give me that! Give me that letter!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Get off! Ahh!"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Ahh!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"They're my letters! Let go of me!"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"That's it! We're going away! Far away! Where they can't find us!"
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","Letters from No One","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",8,"Daddy's gone mad, hasn't he?!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Make a wish, Harry."
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Who's there? Ahh!"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Sorry 'bout that."
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"I demand that you leave at once, sir! You are breaking and entering!"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!"
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"I-I-I'm not Harry."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"I-I am."
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself.  Words and all. Heh."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Thank you!"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"It's not every day that your young man turns eleven, now is it?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Excuse me, who are you?"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Sorry, no."
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Learned what?"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"You're a wizard, Harry."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"I-I'm a what?"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"A wizard. And a thumping good one at that, I'd wager. Once you train up a little."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry."
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry."
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"He'll not be going! We swore when we took him in, we'd put a stop to this rubbish!"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"You knew? You knew all along and you never told me?"
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Blown up? You told me my parents died in a car crash!"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"A car crash? A car crash kill James and Lily Potter?"
32,"Petunia Dursley","Human","Female",NULL,NULL,"Lumos Maxima","Lumos Maxima","White","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"We had to tell him something."
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"It's an outrage! It's a scandal!"
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"He'll not be going!"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Oh, and I suppose a great Muggle like yourself's going to stop him, are you?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Muggle?"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Non magic folk.  This boy's had his name down ever since he was born!  He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the finest headmaster that Hogwarts has ever seen: Albus Dumbledore."
21,"Vernon Dursley","Human","Male",NULL,NULL,"Finite","General Counter-Spell","Red","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"I will not pay for some crackpot old fool to teach him magic tricks!"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Never, insult Albus Dumbledore, in front of me."
31,"Dudley Dursley","Human","Male",NULL,NULL,"Lumos","Wand-Lighting Charm","White","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Ahh!"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Oh, um, I'd appreciate if you didn't tell anyone at Hogwarts about that. Strictly speaking, I'm not allowed to do magic."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Okay."
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Keeper of the Keys","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",10,"Ooh, we're a bit behind schedule. Best be off.  Unless you'd rather stay, of course. Hmm?"
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Diagon Alley","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",5,"First year students will require: three sets of work robes, one wand."
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Diagon Alley","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",5,"Essential bit of equipment, Harry."
1,"Harry Potter","Human","Male","Gryffindor","Stag","Accio","Summoning Charm",NULL,"Diagon Alley","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",5,"One pair of dragon-hide gloves.  Hagrid, do they mean for a real dragon?"
5,"Rubeus Hagrid","Half-Human/Half-Giant","Male","Gryffindor",NULL,"Arania Exumai","Spider repelling spell","Blue","Diagon Alley","Harry Potter and the Philosopher's Stone","152","$125,000,000 ",5,"Well, they don't mean for a penguin, do they? Heh. Crikey, but not a dragon."
